split,class_id,class_name,num_instances
train,0,Blight,2724
train,1,brown_spot,2224
train,2,corn_rust,3510
train,3,corn_smut,2853
train,4,downy_mildew,2470
train,5,grey_leaf_spot,2727
train,6,healthy,3320
train,7,maize-streak-disease,558
val,0,Blight,808
val,1,brown_spot,654
val,2,corn_rust,1056
val,3,corn_smut,802
val,4,downy_mildew,731
val,5,grey_leaf_spot,767
val,6,healthy,1063
val,7,maize-streak-disease,152
test,0,Blight,428
test,1,brown_spot,347
test,2,corn_rust,503
test,3,corn_smut,395
test,4,downy_mildew,330
test,5,grey_leaf_spot,430
test,6,healthy,438
test,7,maize-streak-disease,76
